opeid,unitid,school_name,inst_name,state,state_abbr,sector,sector_label,closed_date,closed_year,first_ipeds_year,last_ipeds_year,last_enroll,city,zip,country
02173100,,COMPUTER COMMUNICATIONS INSTITUTE                                     ,,PA        ,,,Unknown,1984-08-01,1984,,,,UPPER DARBY              ,19082     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00216300,,MARIST COLLEGE & SEMINARY                                             ,,MA        ,,,Unknown,1985-12-31,1985,,,,FRAMINGHAM               ,01701-0000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
01161300,,DRUID CITY HOSPITAL SCHOOL OF MEDICAL TECHNOLOGY                      ,,AL        ,,,Unknown,1986-12-31,1986,,,,TUSCALOOSA               ,35401     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02512900,,SPARKS REGIONAL MEDICAL CENTER SCHOOL FOR RESPIRATORY                 ,,AR        ,,,Unknown,1986-02-01,1986,,,,FORT SMITH               ,72902     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
01124900,,SPARKS REGIONAL MEDICAL CENTER SCHOOL OF MEDICAL TECHLGY              ,,AR        ,,,Unknown,1986-02-01,1986,,,,FT SMITH                 ,72901     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
01027300,,ADVANCED BEAUTY COLLEGE                                               ,,AZ        ,,,Unknown,1986-06-01,1986,,,,TUCSON                   ,85719     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
01014500,,ADVANCED BEAUTY COLLEGE                                               ,,AZ        ,,,Unknown,1986-06-30,1986,,,,TUCSON                   ,85712     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02104600,,ADVANCED BEAUTY COLLEGE                                               ,,AZ        ,,,Unknown,1986-06-30,1986,,,,TUCSON                   ,85730     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
01224400,,BIOSYSTEMS INSTITUTE                                                  ,,AZ        ,,,Unknown,1986-07-02,1986,,,,TEMPE                    ,85282     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02113500,,HAIRMASTERS UNIVERSITY OF BEAUTY NO 10                                ,,AZ        ,,,Unknown,1986-10-26,1986,,,,TEMPE                    ,85282     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02125100,,ACADEMY INTERNATIONAL                                                 ,,CA        ,,,Unknown,1986-07-01,1986,,,,SANTA BARBARA            ,93101     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00944500,,CALIFORNIA BUSINESS COLLEGE                                           ,,CA        ,,,Unknown,1986-02-28,1986,,,,LOS ANGELES              ,90013     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
01128900,,EL CAJON VALLEY HOSPITAL SCHOOL OF MEDICAL TECHLGY                    ,,CA        ,,,Unknown,1986-11-30,1986,,,,EL CAJON                 ,92021     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02082300,,INTERNATIONAL COLLEGE                                                 ,,CA        ,,,Unknown,1986-09-30,1986,,,,LOS ANGELES              ,90024     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00928000,,OAKLAND COLLEGE OF DENTAL MEDICAL ASSISTANTS                          ,,CA        ,,,Unknown,1986-12-30,1986,,,,OAKLAND                  ,94612     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02088000,,SAN DIEGO TECHL INST                                                  ,,CA        ,,,Unknown,1986-02-01,1986,,,,SAN DIEGO                ,92101     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00449300,,SIERRA COLLEGE OF BUSINESS                                            ,,CA        ,,,Unknown,1986-04-01,1986,,,,LOS ANGELES              ,90014     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02054500,,SUPER SHAPES COLLEGE OF COSMETOLOGY                                   ,,CA        ,,,Unknown,1986-12-31,1986,,,,OAKLAND                  ,94612     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
